verb,noun
Fight,Bear
Destroy,Demon
Pierce,Menace
Tear,Dragon
Carry,Night
Entomb,Darkness
Reclaim,Enemy
Release,Monster
Attack,System
Raid,Refuge
Feed,Power
Harass,Pit
Devour,Stage
Surround,Establishment
Jump,Crowd
Disembowel,Day
Create,Hour
Bring,Music
Take,Sound
Stab,Memory
Demolish,Protest
Reveal,Opposition
Terminate,Resistance
Strengthen,Blackness
Charge,Pain
Protest,Dead
Rush,Stone
Betray,Fate
Raise,People
Corrode,Forgotten
Disfigure,World
Darken,Silence
Slaughter,City
Torture,Ocean
Torment,Fire
Kill,Affliction
Escape,Sky
Gut,Broken
Suffocate,Castle
Survive,Veil
Crown,Living
Bury,Creature
Follow,Creator
I Am,Dawn
We Are,Samurai
Disrupt,Divide
Conquer,Void
Disrespect,Empire
End,
Dismantle,
Decay,
Incinerate,
Control,
Embrace,
Contort,
Rupture,
Raise,
Enter,
Burn,
Pillage,
"I,",
Disturb,
